id,title,category,points,type,description
1,"Moshe Rabbeinu",People,1,text,"The greatest prophet in Jewish history, who led the Israelites out of Egyptian slavery. He received the Torah at Sinai and is the central figure of the Pesach story — yet his name appears only once in the Haggadah."
2,"Pharaoh",People,1,text,"The king of ancient Egypt whose repeated refusal to free the Israelites brought ten plagues upon his kingdom. His declaration — ‘Who is Hashem that I should listen to Him?’ — opens the Exodus narrative."
3,"Miriam HaNeviah",People,1,text,"The prophetess and sister of Moshe who watched over him as an infant on the Nile. After the sea split, she led the women in song and dance with tambourines — one of the most celebrated moments in the Exodus."
4,"Yocheved",People,2,text,"The mother of Moshe, Aharon, and Miriam. When Pharaoh decreed all newborn Hebrew boys be drowned, she placed infant Moshe in a waterproofed basket on the Nile and saved his life."
5,"Nachshon ben Aminadav",People,3,text,"Prince of the tribe of Yehudah who, according to the Midrash, jumped into the Red Sea before it split — wading in up to his nose until the waters parted. The definitive symbol of faith in action."
6,"Batya (Bityah)",People,3,text,"Pharaoh’s daughter who drew infant Moshe from the Nile and raised him in the royal palace. Her name — meaning ‘daughter of God’ — was given by Hashem as a divine reward for her compassion."
7,"Aharon HaKohen",People,1,text,"Moshe’s older brother and the first Kohen Gadol. Appointed as Moshe’s spokesman before Pharaoh, he performed several plagues and became the ancestor of all kohanim throughout history."
8,"Rabban Gamliel",People,2,text,"The Nasi of the Sanhedrin who ruled that every person at the Seder must explain Pesach, matzah, and maror — or has not fulfilled the obligation. His ruling is central to the Haggadah’s Maggid section."
9,"Rabbi Akiva",People,2,text,"One of the greatest Tannaim, present at the all-night Seder in Bnei Brak. He taught that love of one’s neighbour is the foundational principle of the Torah. Ultimately martyred by the Romans."
10,"Elazar ben Azaryah",People,3,text,"The Tanna who could not resolve whether the Exodus must be mentioned at night — until Ben Zoma’s drashah settled it. Appointed head of the Sanhedrin at a young age, he famously said he was ‘like a man of seventy.’"
11,"Zipporah",People,2,text,"Moshe’s wife and daughter of Yitro. She plays a crucial, enigmatic role at a wayside inn where she circumcises their son, seemingly saving Moshe’s life from a divine threat on the journey back to Egypt."
12,"Yitro",People,2,text,"Moshe’s father-in-law, a Midianite priest. He sheltered Moshe after he fled Egypt and later advised him to delegate judicial authority — perhaps the Torah’s first management consultant."
13,"Afikoman",Objects,1,text,"The piece of matzah hidden at the start of the Seder and held ransom by children for a prize. Nothing may be eaten after it, ensuring it is the last taste of the night. Its etymology remains debated by scholars."
14,"Maror",Objects,1,text,"Bitter herbs eaten at the Seder to recall the bitterness of Egyptian slavery. Romaine lettuce or horseradish are most common. Listed in the Torah alongside the Pesach offering and matzah as a required element."
15,"Charoset",Objects,1,text,"A sweet paste of fruits, nuts, and wine representing the mortar used by Jewish slaves in Egypt. Ashkenazic versions use apples and walnuts; Sephardic versions often include dates, figs, and spices."
16,"Karpas",Objects,2,text,"A vegetable — parsley, celery, or potato — dipped in salt water at the start of the Seder. The salt water represents tears of slavery. The dipping prompts one of the four Mah Nishtanah questions."
17,"Zeroa",Objects,2,text,"A roasted shank bone on the Seder plate, recalling the Korban Pesach. It is not eaten but serves as a visual symbol. Vegetarians sometimes substitute a roasted beet."
18,"Beitzah",Objects,2,text,"A roasted or hard-boiled egg on the Seder plate, symbolising the festival offering brought to the Temple. Some interpret it as a symbol of mourning for the Temple’s destruction."
19,"Ke’arah",Objects,2,text,"The Seder plate itself, holding six symbolic items: zeroa, beitzah, maror, charoset, karpas, and chazeret. Its arrangement is debated by kabbalists; the Arizal’s layout is most widely followed."
20,"Kos Eliyahu",Objects,1,text,"The Cup of Elijah — a fifth wine cup filled but not drunk, left for the prophet. The door is opened during Shfoch Chamatcha. Its origin lies in an unresolved Talmudic debate about whether five cups are required."
21,"Matzah Shmurah",Objects,2,text,"Matzah guarded from harvest (or kneading) against contact with water that could cause leavening. Many Ashkenazim use round hand-made shmurah matzah specifically for the Seder mitzvah."
22,"Staff of Moshe",Objects,2,text,"The miraculous wooden staff used by Moshe and Aharon to bring the plagues and split the Red Sea. The Mishna in Avot lists it among ten things created on the eve of the first Shabbat at twilight."
23,"Korech",Objects,3,text,"The Hillel sandwich — matzah and maror eaten together — based on Hillel’s practice of fulfilling the verse ‘with matzah and bitter herbs they shall eat it’ in its most literal sense."
24,"Dayenu",Phrases,1,text,"‘It would have been enough’ — the beloved song listing fifteen acts of divine kindness during the Exodus, each declared sufficient on its own. Its structure teaches gratitude for every individual blessing."
25,"Mah Nishtanah",Phrases,1,text,"‘Why is this night different?’ — the four questions asked by the youngest child at the Seder, designed to prompt the telling of the Exodus story. The Talmud rules even two scholars must ask each other."
26,"Ha Lachma Anya",Phrases,2,text,"‘This is the bread of affliction’ — the Aramaic declaration opening Maggid, inviting all who are hungry to come and eat. Its use of Aramaic is debated; one view is it was said so the angels would not understand and object."
27,"B’chol Dor VaDor",Phrases,2,text,"‘In every generation’ — the obligation for each person at the Seder to personally identify with the Exodus, as if they themselves left Egypt. Derived from the verse ‘you shall tell your child on that day.’"
28,"Avadim Hayinu",Phrases,1,text,"‘We were slaves to Pharaoh in Egypt’ — the opening of the main Haggadah narrative following Mah Nishtanah. Per Rav in the Talmud, beginning with shame before praise is the correct structure for the retelling."
29,"Vehi She’amda",Phrases,2,text,"‘And this is what has stood for our fathers’ — declaring that in every generation enemies rise to destroy the Jewish people, yet God saves them. Often the moment the Seder falls into quiet reflection."
30,"L’Shanah Haba’ah biYerushalayim",Phrases,1,text,"‘Next year in Jerusalem’ — the closing declaration of the Seder, expressing hope for redemption. Also said at the end of Yom Kippur. Those in Jerusalem say ‘Next year in the rebuilt Jerusalem.’"
31,"Eser HaMakkot",Phrases,1,text,"The Ten Plagues — blood, frogs, lice, wild animals, pestilence, boils, hail, locusts, darkness, and death of the firstborn. A drop of wine is removed at the Seder for each one, reducing joy at others’ suffering."
32,"Sippur Yetziat Mitzrayim",Phrases,2,text,"The Torah obligation to recount the Exodus on Pesach night. The Rambam rules it applies even alone. The more one expands the telling, the more praiseworthy. The entire Seder structure fulfils this mitzvah."
33,"Leil Shimurim",Phrases,3,text,"‘A night of watching’ — the Torah’s description of the Exodus night (Shemot 12:42). The Midrash teaches it is also a night of divine protection, which is why no Shema al HaMita is recited on Seder night."
34,"Arba Leshonot Geulah",Phrases,3,text,"The four expressions of redemption in Shemot 6:6-7 — ‘I will take you out, save you, redeem you, take you as My people’ — the source for the four cups of wine drunk at the Seder."
35,"The Afikoman Ransom",Fun,1,text,"The Seder’s annual hostage negotiation, in which children who have stolen the hidden matzah refuse to return it until adults agree to their demands. Prizes promised under duress have historically included bicycles."
36,"Falling Asleep Before Nirtzah",Fun,1,text,"The near-universal Seder experience in which at least one participant loses consciousness somewhere between Shulchan Orech and Hallel, only to wake up insisting they were simply resting their eyes."
37,"Chad Gadya",Fun,1,text,"The cumulative nursery rhyme about a goat purchased for two coins, set upon by ever-more-powerful forces. Kabbalists interpret it as an allegory for all of world history leading to the Messianic era."
38,"Echad Mi Yodea",Fun,1,text,"‘Who Knows One?’ — the counting song racing through Jewish numbers from one to thirteen. Tests memory, lung capacity, and exactly how fast the leader can sing by the time verse thirteen arrives."
39,"The Seder That Goes Too Long",Fun,1,text,"A recurring phenomenon in which the host’s commitment to a ‘full Haggadah’ collides with guests’ biological needs and the soup cooling. Distinguished by how many people checked their watches during Maggid."
40,"Kitniyot Wars",Fun,2,text,"The annual Ashkenazic-Sephardic diplomatic incident in which legumes, rice, and corn become flashpoints. The Committee of Ashkenazic Rabbis technically permitted kitniyot in 2016 — a ruling ignored by most grandmothers."
41,"Bedikat Chametz Torch",Fun,2,text,"The ceremonial search for leaven by candlelight with a feather and wooden spoon — a combination seemingly designed by someone who enjoyed both ancient tradition and a mild but present fire hazard."
42,"The Bitter Herb Eating Contest",Fun,1,text,"An unofficial Seder competition — unrecorded in the Shulchan Aruch — in which participants attempt to eat an heroic amount of freshly grated horseradish without visible tears. Points deducted for reaching for wine."
43,"Reclining to the Left",Fun,2,text,"The halachic requirement to lean left while eating and drinking at the Seder as a sign of freedom. In practice, this is performed via a right-angle tilt using a cushion borrowed from the living room sofa."
44,"Ten Plagues Finger Dip",Fun,1,text,"The custom of removing a drop of wine for each of the ten plagues, symbolising diminished joy at others’ suffering. The only moment at most Seders when red wine reliably ends up on the white tablecloth."
45,"Elijah’s Cup Left Untouched",Fun,1,text,"The annual Seder debate over whether Elijah’s wine level dropped slightly after the door was opened. Families divide: the faithful (definitely lower), the sceptics (physics), and those too full to engage."
46,"Selling Chametz",Fun,2,text,"The legal transaction in which chametz is sold to a non-Jew before Pesach and repurchased after. Performed via a rabbi’s power of attorney, it may be the world’s most universally anticipated contractual reversal."
47,"Matzah Ball Density Dispute",Fun,1,text,"The fiercely contested debate between the floaty matzah ball (light, airy, achieved through beaten egg whites) and the sinker (dense, heavy). The correct position is a matter of family inheritance. Marriages have been tested."
48,"The Haggadah Collector",Fun,3,text,"A fixture at some Seders: the uncle with seventeen Haggadot stacked at his place, cross-referencing at every paragraph. Associated with Seders ending at 2am and soup that has long achieved room temperature."
49,"Biur Chametz",Fun,2,text,"The burning of chametz on the morning before Pesach — one of the rare halachic obligations fulfilled with actual fire. Children universally enjoy this mitzvah. Local fire codes have a complicated relationship with it."
50,"Shir HaShirim at the Seder",Fun,3,text,"The custom of reading the Song of Songs on Pesach, whose overt romantic poetry is reinterpreted as an allegory for God and Israel — a reframing that reliably confuses first-time readers."
51,"The Splitting of the Sea",People,1,picture,"The miraculous splitting of the Yam Suf as the Israelites fled Egypt. The Midrash teaches twelve separate paths opened — one for each tribe — with walls of water transparent as glass."
52,"The Burning Bush",People,2,picture,"The site where Hashem first spoke to Moshe at Har Chorev and commanded him to return to Egypt. The bush burned but was not consumed — a symbol of the Jewish people persisting through every persecution."
53,"The Seder Plate",Objects,1,picture,"The ceremonial plate holding the six symbolic Seder foods: zeroa, beitzah, maror, charoset, karpas, and chazeret. Its arrangement follows kabbalistic traditions, most famously that of the Arizal."
54,"The Ten Plagues",Fun,1,picture,"The ten plagues: blood, frogs, lice, wild animals, pestilence, boils, hail, locusts, darkness, and death of the firstborn. A drop of wine is spilled at the Seder for each one."
55,"The Fifth Son",Fun,3,text,"The hypothetical child who didn’t make it into the Haggadah. Variously identified as the one who left, the one on their phone, or the one who showed up late and is still eating soup during Hallel."
56,"Pesach Hotel Guest",Fun,2,text,"A species found annually in Miami, Cancún, and various Alpine resorts. Distinguished by the all-inclusive wristband, the afternoon tea-room complaint, and the confident assertion that the program is not as good as last year."
57,"The Gebrokts Truther",Fun,3,text,"A person who will not allow matzah to touch liquid under any circumstances — including soup, saliva, and ambient humidity. Can spot a matzah ball from across the room and will make their feelings known."
58,"Pharaoh’s Hardened Heart",Phrases,2,text,"The theological puzzle at the centre of the Exodus. God hardens Pharaoh’s heart — raising the question of free will that has occupied commentators for millennia and undergraduates for a single essay."
59,"The Wicked Son",People,1,text,"One of the Haggadah’s four children. He asks ‘What is this service to you?’ — excluding himself. The Haggadah’s suggested response — blunt his teeth — has launched a thousand sermons on inclusive parenting."
60,"The Son Who Doesn’t Know How to Ask",People,2,text,"The fourth child of the Haggadah. Silent, possibly confused, possibly just done. The instruction is simply to open the conversation for him — a surprisingly modern pedagogical insight from a 2,000-year-old text."
61,"Cleaning Behind the Fridge",Fun,1,text,"The annual Pesach cleaning ritual that somehow escalates from ‘removing chametz’ to ‘pulling out every appliance and confronting crumbs from a geological era.’ Often reveals objects thought permanently lost."
62,"Matzah Dust Everywhere",Fun,1,text,"The fine particulate residue that coats every surface, pocket, and keyboard within 24 hours of Pesach beginning. Scientists have yet to explain how it penetrates sealed containers. It persists until Shavuot."
63,"The Cousin Who Brings Kitniyot",Fun,2,text,"A Sephardi relative who arrives at the Ashkenazi Seder with a rice dish, producing a brief constitutional crisis. Resolution depends entirely on whose grandmother is present and how recently she was consulted."
64,"Dipping Twice",Phrases,1,text,"On all other nights we don’t even dip once — but tonight, twice. The first dip (karpas in salt water) prompts the Mah Nishtanah. The second (maror in charoset) provides sweet relief from the bitter."
65,"Pesach Shopping List",Fun,2,text,"A document of extraordinary length and cost, featuring seven types of Pesachdik oil, four brands of potato starch, and the quiet resignation of whoever is holding the receipt."
66,"The Matzah Cemented to the Oven",Fun,1,text,"The inevitable outcome of reheating shmurah matzah. It bonds to the rack at a molecular level, creating an archaeological artifact that requires tools to remove. Some families simply buy a new rack."
67,"Dam — Blood",Objects,1,text,"The first plague. The Nile and all waters in Egypt turned to blood. Fish died, the water was undrinkable, and the Egyptians had to dig around the river for fresh water. Pharaoh, unmoved, went back inside."
68,"Tzfardea — Frogs",Objects,1,text,"The second plague. The Torah says ‘the frog came up’ — singular. The Midrash debates: was it one enormous frog, or one frog that multiplied when struck? Either way, they were in the beds, the ovens, and the kneading bowls."
69,"Choshech — Darkness",Objects,2,text,"The ninth plague. A darkness so thick it was tangible — the Midrash says Egyptians could not move. Meanwhile, the Israelites had light in their dwellings. Lasted three days."
70,"The 11th Plague: Pesach Prices",Fun,1,text,"An unofficial addition to the Haggadah. Manifests annually in the kosher-for-Pesach aisle, where a box of cake meal costs roughly what a family sedan did in 1987."
71,"Moshe’s Speech Impediment",People,3,text,"Moshe tells God he is ‘heavy of mouth and heavy of tongue.’ Various Midrashim explain: he burned his tongue on hot coals as a child, testing Pharaoh’s suspicion. God’s solution: your brother Aharon will speak for you."
72,"Shifra and Puah",People,3,text,"The two Hebrew midwives who defied Pharaoh’s decree to kill newborn boys. When questioned, they claimed Hebrew women gave birth too quickly for them to arrive. History’s first recorded act of civil disobedience."
73,"The Person Reading Every Commentary",Fun,2,text,"An individual at the Seder table who insists on sharing insights from Abarbanel, the Vilna Gaon, and a podcast they heard last week. Unaware the children left the table 20 minutes ago."
74,"Leaning the Wrong Way",Fun,1,text,"The moment someone leans right instead of left during the four cups, triggering a brief halachic intervention from across the table. The intervener has been waiting all year for this opportunity."
75,"The Haggadah with Transliteration",Fun,2,text,"A Haggadah that includes phonetic English rendering of the Hebrew, enabling full participation by guests who cannot read Hebrew but can pronounce ‘Baruch’ as ‘Ba-ROOKH’ with impressive confidence."
76,"Dayenu — But Was It Actually Enough?",Fun,2,text,"The philosophical tension at the heart of Dayenu: ‘If He had brought us to Sinai but not given us the Torah — it would have been enough.’ Really? The song teaches gratitude. The footnotes teach theology."
77,"Matzah Pizza",Fun,1,text,"The Pesach culinary innovation of putting sauce and cheese on matzah and calling it pizza. Structurally it is a cracker with toppings. It shatters on the first bite, distributing sauce across the table."
78,"Eliyahu HaNavi",People,1,text,"The prophet who never died but ascended to heaven in a chariot of fire. He visits every Seder, every brit milah, and will herald the Messiah. The busiest figure in Jewish tradition."
79,"The Dog That Ate the Chametz",Fun,3,text,"A classic halachic case study: if an animal eats chametz you sold, who is liable? Also, the actual experience of a family dog discovering an unsupervised box of crackers approximately 90 seconds before Pesach begins."
80,"Betzet Yisrael MiMitzrayim",Phrases,2,text,"‘When Israel went out of Egypt’ — the opening of Hallel’s Psalm 114. The sea saw and fled, the Jordan turned back, the mountains skipped like rams. One of the most vivid poems in all of Tanach."
81,"Kol Dichfin",Phrases,3,text,"‘All who are hungry, come and eat’ — the Aramaic invitation at the start of Maggid. Technically issued after the door is already closed and the guests are already seated. The Talmud notes the irony."
82,"The Four Cups of Wine",Objects,1,text,"Four cups corresponding to four expressions of redemption. They must be drunk while reclining. By cup three, most participants are reclining involuntarily. By cup four, the songs become noticeably more enthusiastic."
83,"The Pesach Kitchen Takeover",Fun,1,text,"The annual transformation in which every surface is covered in foil, every utensil is swapped, and the kitchen becomes an unrecognisable landscape. Someone immediately touches something."
84,"The Uncle Arguing with the Haggadah",Fun,2,text,"A recurring Seder character who disagrees with the text itself. ‘Actually, the simple son isn’t simple at all.’ ‘I think the wicked son makes a fair point.’ Will not be hurried through Maggid."
85,"Pesach Candy",Fun,1,text,"A genre of confectionery defined primarily by what it cannot contain. The result: fruit jellies of uncertain provenance, coconut macaroons, and chocolate that tastes as if it is commemorating something."
86,"Miriam’s Well",Objects,3,text,"A miraculous well of water that, according to the Talmud, accompanied the Israelites through the desert in Miriam’s merit. When she died, the well vanished and the people thirsted."
87,"Spilling Wine on the White Tablecloth",Fun,1,text,"A Seder night certainty with a probability approaching 1.0. Usually occurs during the Ten Plagues recitation, adding an unplanned eleventh plague."
88,"The Pesach Brisket",Fun,1,text,"A cut of meat whose Pesach preparation varies by family but whose emotional significance does not. Recipes are inherited, never written down, and always described as ‘not as good as Bubby’s.’"
89,"Letting the Guests Read",Fun,1,text,"The Seder leader’s democratic gesture of assigning paragraphs around the table, producing a rich tapestry of reading speeds, pronunciation styles, and the inevitable moment when someone reads the wrong paragraph."
90,"Kashering the Sink",Fun,2,text,"The procedure of pouring boiling water over every surface of the sink to render it kosher for Pesach. Involves a large pot, an element of danger, and the distinct feeling that one is performing a chemistry experiment."
91,"Acharon Shel Pesach",Phrases,2,text,"The last day of Pesach, when the splitting of the sea is read. For many, it marks the beginning of the countdown to chametz. Pizza shops report a surge in orders approximately 45 seconds after nightfall."
92,"Stealing vs. Hiding the Afikoman",Fun,2,text,"The great minhag divide: in some families the children steal it from the leader; in others, the leader hides it and children search. Both systems produce the same result: protracted negotiations."
93,"Pharaoh’s Chariots",Objects,2,text,"Six hundred elite chariots plus the entire Egyptian army, deployed to recapture the Israelites. All swallowed by the sea. The Midrash says the Egyptians’ own horses refused to enter but were compelled."
94,"The Baby Who Stays Up",Fun,1,text,"A child under four who, against all laws of biology, remains alert through the entire Seder, sustained by grape juice, curiosity, and the specific energy that comes from being allowed to stay up far past bedtime."
95,"Counting the Omer",Phrases,2,text,"The 49-day count from Pesach to Shavuot, beginning on the second night. Most people remember for approximately 11 days before forgetting one night. A spiritual marathon with a high dropout rate."
96,"Gefilte Fish",Objects,1,text,"A ground fish preparation served at Ashkenazi Seders, available in the homemade or jarred varieties. The jarred version sits in a jelly whose origin nobody questions. Opinions are strongly held and never revised."
97,"The Simple Son",People,1,text,"The third of the Haggadah’s four children. He asks simply: ‘What is this?’ The answer is equally direct: ‘With a strong hand God took us out of Egypt.’ Sometimes the simplest question gets the best answer."
98,"Yachatz — Breaking the Middle Matzah",Objects,2,text,"The moment early in the Seder when the leader breaks the middle matzah, wraps the larger piece as the afikoman, and attempts to hide it without the children noticing. The children always notice."
99,"The Post-Pesach Chametz Binge",Fun,1,text,"The phenomenon occurring at nightfall on the last day of Pesach, when bread, pasta, and cereal are consumed with an intensity normally reserved for people who have been stranded. Pizza is the traditional first chametz."
100,"Arami Oved Avi",Phrases,3,text,"‘An Aramean tried to destroy my father’ — the passage from Devarim that forms the backbone of the Maggid section. The Haggadah unpacks it word by word in a textual analysis so thorough it would satisfy a doctoral committee."
